date,industry_name,holding_count
2013-12-31,有色金属冶炼和压延加工业,1
2013-12-31,林业,1
2013-12-31,汽车制造业,2
2013-12-31,电气机械和器材制造业,3
2013-12-31,纺织业,1
2013-12-31,计算机、通信和其他电子设备制造业,1
2013-12-31,软件和信息技术服务业,3
2013-12-31,通用设备制造业,2
2014-03-31,专用设备制造业,2
2014-03-31,化学原料和化学制品制造业,2
2014-03-31,医药制造业,5
2014-03-31,卫生,1
2014-03-31,土木工程建筑业,2
2014-03-31,广播、电视、电影和影视录音制作业,1
2014-03-31,房地产业,1
2014-03-31,批发业,1
2014-03-31,水上运输业,1
2014-03-31,汽车制造业,1
2014-03-31,电气机械和器材制造业,3
2014-03-31,纺织服装、服饰业,1
2014-03-31,计算机、通信和其他电子设备制造业,3
2014-03-31,软件和信息技术服务业,3
2014-03-31,道路运输业,1
2014-03-31,酒、饮料和精制茶制造业,1
2014-03-31,食品制造业,1
2014-06-30,专用设备制造业,2
2014-06-30,仪器仪表制造业,1
2014-06-30,医药制造业,1
2014-06-30,印刷和记录媒介复制业,1
2014-06-30,商务服务业,2
2014-06-30,广播、电视、电影和影视录音制作业,1
2014-06-30,开采辅助活动,1
2014-06-30,批发业,1
2014-06-30,教育,1
2014-06-30,有色金属冶炼和压延加工业,1
2014-06-30,有色金属矿采选业,1
2014-06-30,汽车制造业,1
2014-06-30,计算机、通信和其他电子设备制造业,4
2014-06-30,软件和信息技术服务业,10
2014-06-30,通用设备制造业,1
2014-06-30,造纸和纸制品业,1
2014-09-30,专用设备制造业,4
2014-09-30,互联网和相关服务,3
2014-09-30,仪器仪表制造业,1
2014-09-30,商务服务业,1
2014-09-30,广播、电视、电影和影视录音制作业,2
2014-09-30,房地产业,3
2014-09-30,汽车制造业,1
2014-09-30,电力、热力生产和供应业,1
2014-09-30,电气机械和器材制造业,2
2014-09-30,综合,1
2014-09-30,计算机、通信和其他电子设备制造业,1
2014-09-30,软件和信息技术服务业,4
2014-09-30,酒、饮料和精制茶制造业,2
2014-09-30,金属制品业,1
2014-09-30,铁路、船舶、航空航天和其他运输设备制造业,3
2014-12-31,专用设备制造业,2
2014-12-31,医药制造业,2
2014-12-31,商务服务业,1
2014-12-31,土木工程建筑业,6
2014-12-31,房地产业,7
2014-12-31,水上运输业,2
2014-12-31,电信、广播电视和卫星传输服务,1
2014-12-31,电力、热力生产和供应业,4
2014-12-31,电气机械和器材制造业,1
2014-12-31,航空运输业,1
2014-12-31,道路运输业,1
2014-12-31,酒、饮料和精制茶制造业,1
2014-12-31,食品制造业,1
2015-03-31,互联网和相关服务,1
2015-03-31,仪器仪表制造业,1
2015-03-31,化学原料和化学制品制造业,1
2015-03-31,医药制造业,1
2015-03-31,印刷和记录媒介复制业,1
2015-03-31,商务服务业,1
2015-03-31,土木工程建筑业,2
2015-03-31,房地产业,2
2015-03-31,文化艺术业,1
2015-03-31,有色金属冶炼和压延加工业,1
2015-03-31,木材加工和木、竹、藤、棕、草制品业,1
2015-03-31,橡胶和塑料制品业,1
2015-03-31,电力、热力生产和供应业,1
2015-03-31,电气机械和器材制造业,2
2015-03-31,科技推广和应用服务业,1
2015-03-31,计算机、通信和其他电子设备制造业,1
2015-03-31,软件和信息技术服务业,6
2015-03-31,通用设备制造业,2
2015-03-31,金属制品业,1
2015-03-31,非金属矿物制品业,1
2015-03-31,黑色金属冶炼和压延加工业,1
2015-06-30,专用设备制造业,1
2015-06-30,互联网和相关服务,1
2015-06-30,农副食品加工业,1
2015-06-30,化学原料和化学制品制造业,1
2015-06-30,医药制造业,2
2015-06-30,商务服务业,1
2015-06-30,开采辅助活动,1
2015-06-30,房地产业,2
2015-06-30,批发业,1
2015-06-30,有色金属矿采选业,1
2015-06-30,橡胶和塑料制品业,1
2015-06-30,水上运输业,1
2015-06-30,汽车制造业,2
2015-06-30,电力、热力生产和供应业,3
2015-06-30,纺织业,1
2015-06-30,航空运输业,2
2015-06-30,计算机、通信和其他电子设备制造业,5
2015-06-30,通用设备制造业,1
2015-06-30,零售业,1
2015-06-30,非金属矿物制品业,1
2015-09-30,专用设备制造业,1
2015-09-30,互联网和相关服务,1
2015-09-30,农副食品加工业,1
2015-09-30,医药制造业,5
2015-09-30,商务服务业,2
2015-09-30,家具制造业,1
2015-09-30,广播、电视、电影和影视录音制作业,1
2015-09-30,房地产业,3
2015-09-30,批发业,1
2015-09-30,教育,1
2015-09-30,橡胶和塑料制品业,1
2015-09-30,水上运输业,1
2015-09-30,水的生产和供应业,1
2015-09-30,汽车制造业,1
2015-09-30,电气机械和器材制造业,1
2015-09-30,纺织业,1
2015-09-30,计算机、通信和其他电子设备制造业,3
2015-09-30,道路运输业,1
2015-09-30,零售业,1
2015-09-30,非金属矿物制品业,2
2015-12-31,专业技术服务业,1
2015-12-31,专用设备制造业,1
2015-12-31,互联网和相关服务,1
2015-12-31,仪器仪表制造业,1
2015-12-31,公共设施管理业,1
2015-12-31,农副食品加工业,1
2015-12-31,化学原料和化学制品制造业,4
2015-12-31,医药制造业,2
2015-12-31,商务服务业,1
2015-12-31,有色金属冶炼和压延加工业,1
2015-12-31,橡胶和塑料制品业,3
2015-12-31,汽车制造业,2
2015-12-31,电气机械和器材制造业,1
2015-12-31,计算机、通信和其他电子设备制造业,4
2015-12-31,软件和信息技术服务业,3
2015-12-31,金属制品业,1
2015-12-31,非金属矿物制品业,2
2016-03-31,互联网和相关服务,4
2016-03-31,农副食品加工业,2
2016-03-31,化学原料和化学制品制造业,1
2016-03-31,医药制造业,3
2016-03-31,家具制造业,1
2016-03-31,广播、电视、电影和影视录音制作业,1
2016-03-31,批发业,1
2016-03-31,有色金属冶炼和压延加工业,2
2016-03-31,汽车制造业,1
2016-03-31,电力、热力生产和供应业,3
2016-03-31,电气机械和器材制造业,1
2016-03-31,畜牧业,2
2016-03-31,计算机、通信和其他电子设备制造业,1
2016-03-31,软件和信息技术服务业,1
2016-03-31,酒、饮料和精制茶制造业,2
2016-03-31,金属制品业,1
2016-03-31,非金属矿物制品业,1
2016-03-31,食品制造业,2
2016-06-30,仪器仪表制造业,1
2016-06-30,其他制造业,1
2016-06-30,农副食品加工业,1
2016-06-30,化学原料和化学制品制造业,2
2016-06-30,医药制造业,2
2016-06-30,家具制造业,1
2016-06-30,木材加工和木、竹、藤、棕、草制品业,1
2016-06-30,橡胶和塑料制品业,3
2016-06-30,汽车制造业,1
2016-06-30,电力、热力生产和供应业,1
2016-06-30,电气机械和器材制造业,5
2016-06-30,计算机、通信和其他电子设备制造业,5
2016-06-30,邮政业,1
2016-06-30,酒、饮料和精制茶制造业,4
2016-06-30,非金属矿物制品业,1
2016-09-30,专业技术服务业,1
2016-09-30,专用设备制造业,1
2016-09-30,仪器仪表制造业,1
2016-09-30,其他制造业,1
2016-09-30,化学原料和化学制品制造业,5
2016-09-30,医药制造业,1
2016-09-30,商务服务业,2
2016-09-30,家具制造业,1
2016-09-30,房地产业,1
2016-09-30,橡胶和塑料制品业,1
2016-09-30,汽车制造业,1
2016-09-30,生态保护和环境治理业,1
2016-09-30,电气机械和器材制造业,4
2016-09-30,皮革、毛皮、羽毛及其制品和制鞋业,1
2016-09-30,计算机、通信和其他电子设备制造业,2
2016-09-30,软件和信息技术服务业,2
2016-09-30,邮政业,1
2016-09-30,非金属矿物制品业,2
2016-09-30,食品制造业,1
2016-12-30,公共设施管理业,1
2016-12-30,其他制造业,1
2016-12-30,农业,1
2016-12-30,化学原料和化学制品制造业,2
2016-12-30,房地产业,1
2016-12-30,有色金属矿采选业,1
2016-12-30,橡胶和塑料制品业,2
2016-12-30,水上运输业,1
2016-12-30,汽车制造业,1
2016-12-30,燃气生产和供应业,1
2016-12-30,电信、广播电视和卫星传输服务,1
2016-12-30,电力、热力生产和供应业,1
2016-12-30,电气机械和器材制造业,3
2016-12-30,石油加工、炼焦和核燃料加工业,1
2016-12-30,计算机、通信和其他电子设备制造业,1
2016-12-30,造纸和纸制品业,1
2016-12-30,酒、饮料和精制茶制造业,2
2016-12-30,铁路、船舶、航空航天和其他运输设备制造业,2
2016-12-30,零售业,3
2016-12-30,非金属矿物制品业,2
2016-12-30,食品制造业,1
2017-03-31,化学原料和化学制品制造业,2
2017-03-31,医药制造业,3
2017-03-31,商务服务业,1
2017-03-31,土木工程建筑业,1
2017-03-31,家具制造业,1
2017-03-31,批发业,1
2017-03-31,橡胶和塑料制品业,1
2017-03-31,汽车制造业,1
2017-03-31,电气机械和器材制造业,6
2017-03-31,计算机、通信和其他电子设备制造业,4
