family,variant,period,path,annual_return,max_drawdown,sharpe,sortino,information_ratio,annual_turnover,final_nav
target_volatility,tv20,max,reports\local_backtests\quarterly_vol_test\tv20_max,0.08271775644728763,-0.4134767576073598,0.49165528967541394,0.49102728443147475,-0.10995022664031057,11.990839579973578,5.137040813535689
timing_ma,ma120,5y,reports\local_backtests\tv08_timing_test\ma120_5y,0.1303628795823295,-0.1297036627277568,1.3097672723219393,1.5977699741074085,0.6556669703658589,15.893334546498652,1.794076155819334
timing_ma,ma120,max,reports\local_backtests\tv08_timing_test\ma120_max,0.06561925852284634,-0.25132601895976514,0.737102797265667,0.7248120863459099,-0.2205322435269539,11.780938610763785,3.7013613075290914
timing_ma,ma150,5y,reports\local_backtests\tv08_timing_test\ma150_5y,0.11002509193542376,-0.09663222969999918,1.1612149350909726,1.356975933742083,0.5509582427272305,15.977650540058137,1.6452437190401066
timing_ma,ma150,max,reports\local_backtests\tv08_timing_test\ma150_max,0.05724993531250622,-0.21077125557590248,0.6705746368192675,0.6604961805974476,-0.25709708615951615,11.65132456587465,3.1466531237015642
timing_ma,ma180,5y,reports\local_backtests\tv08_timing_test\ma180_5y,0.12187943768512777,-0.10042618095560696,1.3592041427788253,1.6692003053582294,0.6170290171351738,12.478805295749526,1.7307541813566736
timing_ma,ma180,max,reports\local_backtests\tv08_timing_test\ma180_max,0.056639286187382565,-0.2058038181310029,0.6738349080872843,0.6482569996125737,-0.26096666396678286,10.94979219950708,3.1094404588680535
timing_ma,ma200,5y,reports\local_backtests\tv08_timing_test\ma200_5y,0.11287728564665955,-0.1109551721361618,1.2581829755886573,1.5120518165963768,0.5682418561096331,12.633998161884382,1.6655057835158213
timing_ma,ma200,max,reports\local_backtests\tv08_timing_test\ma200_max,0.06331567566229301,-0.1617313597758555,0.7650724644034079,0.7527597991198602,-0.23360573005717009,10.082268540485824,3.5400458949329625
timing_ma,ma240,5y,reports\local_backtests\tv08_timing_test\ma240_5y,0.10735026766778688,-0.07297477965527543,1.2014386128764587,1.303631919859974,0.5377644890418561,13.454343044670226,1.6264191980513958
timing_ma,ma240,max,reports\local_backtests\tv08_timing_test\ma240_max,0.0748726434532645,-0.16200717279614718,0.9205684046514715,0.956013544275223,-0.18676145123688723,9.889446025744903,4.422630437111927
timing_ma,ma300,5y,reports\local_backtests\tv08_timing_test\ma300_5y,0.10995086594475412,-0.06659581817262772,1.3239512835913978,1.2032329505595392,0.5457616448512489,10.515062025124402,1.6447190292233076
timing_ma,ma300,max,reports\local_backtests\tv08_timing_test\ma300_max,0.06374357983682089,-0.14490070958322943,0.7883169499584766,0.77829276164987,-0.23273883752861602,9.393997804867007,3.5694961604081885
turnover_structure,quarterly,5y,reports\local_backtests\structural_turnover_test\quarterly_5y,0.19672683099188082,-0.14038541080009292,1.210479313505223,1.3994415064912258,0.961400013313426,14.960625105319622,2.355178912520383
turnover_structure,quarterly,max,reports\local_backtests\structural_turnover_test\quarterly_max,0.08280759368355195,-0.3951383904354753,0.5097533506576777,0.510910273463881,-0.11412864110579285,11.900170572917565,5.145824772420076
turnover_structure,sell90,5y,reports\local_backtests\structural_turnover_test\sell90_5y,0.12204361378714457,-0.17385466360793833,0.7672390344788421,0.8986879053052006,0.6099492025319724,22.077860352232435,1.7319626151557868
turnover_structure,sell90,max,reports\local_backtests\structural_turnover_test\sell90_max,0.051634526757744936,-0.5579105665372717,0.3152479887906551,0.327113357205509,-0.2425565076602444,16.565309309649525,2.8198417904140682
