date,order_book_id,weight
2021-06-03,603126.XSHG,0.005829576824712672
2021-06-03,603300.XSHG,0.015704051178795874
2021-06-03,603486.XSHG,0.007446013737354799
2021-06-03,603778.XSHG,0.008514152331935611
2021-06-03,603801.XSHG,0.007460419999767737
2021-06-03,603877.XSHG,0.00859646956597424
2021-06-03,688198.XSHG,0.007948650644857076
2021-06-03,688202.XSHG,0.005982690203984669
2021-06-04,000027.XSHE,0.008113135169658855
2021-06-04,000069.XSHE,0.014660540315732771
2021-06-04,000883.XSHE,0.012688937477457645
2021-06-04,000966.XSHE,0.008093379541697785
2021-06-04,002192.XSHE,0.00848707888449883
2021-06-04,002372.XSHE,0.010853156239654695
2021-06-04,002534.XSHE,0.009157370763765141
2021-06-04,002568.XSHE,0.009056477435869119
2021-06-04,002612.XSHE,0.00506828542738702
2021-06-04,002658.XSHE,0.008474616052291535
2021-06-04,002810.XSHE,0.008507403492902705
2021-06-04,002876.XSHE,0.01101752528827703
2021-06-04,300137.XSHE,0.008894524337673858
2021-06-04,300390.XSHE,0.007244645619964547
2021-06-04,600025.XSHG,0.015364450855109709
2021-06-04,600507.XSHG,0.009557580934329483
2021-06-04,600578.XSHG,0.01383136320518529
2021-06-04,600744.XSHG,0.006855737601334124
2021-06-04,600780.XSHG,0.013232618774993857
2021-06-04,600917.XSHG,0.012470648666482153
2021-06-04,601158.XSHG,0.022032799132820056
2021-06-04,603098.XSHG,0.009325456180516943
2021-06-04,603126.XSHG,0.00653103499046461
2021-06-04,603300.XSHG,0.017593679751500318
2021-06-04,603486.XSHG,0.008341973649269344
2021-06-04,603778.XSHG,0.00953863864668394
2021-06-04,603801.XSHG,0.008358113380630607
2021-06-04,603877.XSHG,0.009630860904317718
2021-06-04,688198.XSHG,0.008905091578598303
2021-06-04,688202.XSHG,0.0067025721135872615
2021-06-07,000027.XSHE,0.008405319089303573
2021-06-07,000069.XSHE,0.015188520442278638
2021-06-07,000883.XSHE,0.013145912914296846
2021-06-07,000966.XSHE,0.008384851988318573
2021-06-07,002192.XSHE,0.00879272989646281
2021-06-07,002372.XSHE,0.011244018423546075
2021-06-07,002534.XSHE,0.009487161458415843
2021-06-07,002568.XSHE,0.009382634589675967
